siren,valide,fichier_source
401812151,True,modification d entreprise.txt
893782813,True,modification d entreprise.txt
524644457,True,modification d entreprise.txt
881109649,True,modification d entreprise.txt
388252306,True,modification d entreprise.txt
335185104,True,modification d entreprise.txt
790051460,True,modification d entreprise.txt
918090010,True,modification d entreprise.txt
503271124,True,modification d entreprise.txt
940859515,True,modification d entreprise.txt
915100507,True,modification d entreprise.txt
313285181,True,modification d entreprise.txt
415116268,True,modification d entreprise.txt
499235034,True,modification d entreprise.txt
398730366,True,modification d entreprise.txt
552054447,True,modification d entreprise.txt
417493079,True,modification d entreprise.txt
822210944,True,modification d entreprise.txt
910664721,True,modification d entreprise.txt
904522349,True,modification d entreprise.txt
937957850,True,modification d entreprise.txt
942672536,True,modification d entreprise.txt
901182303,True,modification d entreprise.txt
350503389,True,modification d entreprise.txt
387992514,True,modification d entreprise.txt
880318662,True,modification d entreprise.txt
484551767,True,modification d entreprise.txt
850981564,True,modification d entreprise.txt
948526348,True,modification d entreprise.txt
523218766,True,modification d entreprise.txt
913222246,True,modification d entreprise.txt
902631647,True,modification d entreprise.txt
903390789,True,modification d entreprise.txt
982225856,True,modification d entreprise.txt
979423902,True,modification d entreprise.txt
818843609,True,modification d entreprise.txt
519205397,True,modification d entreprise.txt
316432962,True,modification d entreprise.txt
538260993,True,modification d entreprise.txt
485143648,True,modification d entreprise.txt
498406537,True,modification d entreprise.txt
538257205,True,modification d entreprise.txt
538261249,True,modification d entreprise.txt
401064365,True,modification d entreprise.txt
984141366,True,modification d entreprise.txt
810001578,True,modification d entreprise.txt
922239918,True,modification d entreprise.txt
987634326,True,modification d entreprise.txt
983247636,True,modification d entreprise.txt
453244782,True,modification d entreprise.txt
850165465,True,modification d entreprise.txt
517583522,True,modification d entreprise.txt
834236309,True,modification d entreprise.txt
448581314,True,modification d entreprise.txt
980608269,True,modification d entreprise.txt
503111767,True,modification d entreprise.txt
898792502,True,modification d entreprise.txt
943669507,True,modification d entreprise.txt
950973669,True,modification d entreprise.txt
948673611,True,modification d entreprise.txt
949867048,True,modification d entreprise.txt
513643650,True,modification d entreprise.txt
902016955,True,modification d entreprise.txt
888988045,True,modification d entreprise.txt
383673779,True,modification d entreprise.txt
987775368,True,modification d entreprise.txt
905291340,True,modification d entreprise.txt
919719468,True,modification d entreprise.txt
819919333,True,modification d entreprise.txt
987844271,True,modification d entreprise.txt
828609222,True,modification d entreprise.txt
933100174,True,modification d entreprise.txt
981784564,True,modification d entreprise.txt
834405961,True,modification d entreprise.txt
394421572,True,modification d entreprise.txt
910337716,True,modification d entreprise.txt
501911291,True,modification d entreprise.txt
929425718,True,modification d entreprise.txt
938492584,True,modification d entreprise.txt
900030222,True,modification d entreprise.txt
814301180,True,modification d entreprise.txt
538632431,True,modification d entreprise.txt
938263548,True,modification d entreprise.txt
881094387,True,modification d entreprise.txt
853765097,True,modification d entreprise.txt
378657746,True,modification d entreprise.txt
851914622,True,modification d entreprise.txt
898620174,True,modification d entreprise.txt
934633868,True,modification d entreprise.txt
481759363,True,modification d entreprise.txt
979241494,True,modification d entreprise.txt
909224537,True,modification d entreprise.txt
879023182,True,modification d entreprise.txt
332714401,True,modification d entreprise.txt
490486222,True,modification d entreprise.txt
821017696,True,modification d entreprise.txt
398621102,True,modification d entreprise.txt
351497649,True,modification d entreprise.txt
878834811,True,modification d entreprise.txt
445720899,True,modification d entreprise.txt
309054922,True,modification d entreprise.txt
899243885,True,modification d entreprise.txt
977908557,True,modification d entreprise.txt
909062606,True,modification d entreprise.txt
941110306,True,modification d entreprise.txt
830015871,True,modification d entreprise.txt
953849312,True,modification d entreprise.txt
931556849,True,modification d entreprise.txt
882512148,True,modification d entreprise.txt
470500943,True,modification d entreprise.txt
349379263,True,modification d entreprise.txt
807652565,True,modification d entreprise.txt
921489142,True,modification d entreprise.txt
382914893,True,modification d entreprise.txt
493504278,True,modification d entreprise.txt
451363451,True,modification d entreprise.txt
803717602,True,modification d entreprise.txt
530018639,True,modification d entreprise.txt
848890232,True,modification d entreprise.txt
943819201,True,modification d entreprise.txt
929004190,True,modification d entreprise.txt
978514099,True,modification d entreprise.txt
951408442,True,modification d entreprise.txt
799158100,True,modification d entreprise.txt
904688553,True,modification d entreprise.txt
929263515,True,modification d entreprise.txt
844927905,True,modification d entreprise.txt
881760441,True,modification d entreprise.txt
941579740,True,modification d entreprise.txt
892414863,True,modification d entreprise.txt
838364909,True,modification d entreprise.txt
940686165,True,modification d entreprise.txt
831828389,True,modification d entreprise.txt
378875645,True,modification d entreprise.txt
538576380,True,modification d entreprise.txt
938630753,True,modification d entreprise.txt
977920768,True,modification d entreprise.txt
928583798,True,modification d entreprise.txt
881348999,True,modification d entreprise.txt
901306506,True,modification d entreprise.txt
849117957,True,modification d entreprise.txt
949688006,True,modification d entreprise.txt
953078581,True,modification d entreprise.txt
914425822,True,modification d entreprise.txt
