siren,valide,fichier_source
818467615,True,test annonce légale saone et loire 0206.txt
884297169,True,test annonce légale saone et loire 0206.txt
507384683,True,test annonce légale saone et loire 0206.txt
888617651,True,test annonce légale saone et loire 0206.txt
889671509,True,test annonce légale saone et loire 0206.txt
513603472,True,test annonce légale saone et loire 0206.txt
850847955,True,test annonce légale saone et loire 0206.txt
931808331,True,test annonce légale saone et loire 0206.txt
891748444,True,test annonce légale saone et loire 0206.txt
893609776,True,test annonce légale saone et loire 0206.txt
685550659,True,test annonce légale saone et loire 0206.txt
404146656,True,test annonce légale saone et loire 0206.txt
980904890,True,test annonce légale saone et loire 0206.txt
833143662,True,test annonce légale saone et loire 0206.txt
499901205,True,test annonce légale saone et loire 0206.txt
915366520,True,test annonce légale saone et loire 0206.txt
929199701,True,test annonce légale saone et loire 0206.txt
451132534,True,test annonce légale saone et loire 0206.txt
531997294,True,test annonce légale saone et loire 0206.txt
887913424,True,test annonce légale saone et loire 0206.txt
808775639,True,test annonce légale saone et loire 0206.txt
518776562,True,test annonce légale saone et loire 0206.txt
750626269,True,test annonce légale saone et loire 0206.txt
750583486,True,test annonce légale saone et loire 0206.txt
847815826,True,test annonce légale saone et loire 0206.txt
483629036,True,test annonce légale saone et loire 0206.txt
317587038,True,test annonce légale saone et loire 0206.txt
970506812,True,test annonce légale saone et loire 0206.txt
948790381,True,test annonce légale saone et loire 0206.txt
840026298,True,test annonce légale saone et loire 0206.txt
822894770,True,test annonce légale saone et loire 0206.txt
851006817,True,test annonce légale saone et loire 0206.txt
